,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,url
64,The Leopard Vanguard,T.A. Uner,83,159,3.96,404.0,2013.0,1,"Fantasy,Historical > Historical Fiction,Historical",,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
65,Possession of My Soul,Kia Carrington-Russell,57,5236,3.54,230.0,2014.0,1,"Fantasy,Romance,Young Adult",,https://www.goodreads.com/book/show/21878763-possession-of-my-soul
66,Learning to Kiss in the Snow,D.B. Tarpley,0,58,3.98,273.0,2014.0,0,"Horror,Fiction,Fantasy",,https://www.goodreads.com/book/show/22821333-learning-to-kiss-in-the-snow
67,The Fate of Vultures,Jessica O'Toole,10,21,4.1,,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22328392-the-fate-of-vultures
68,In Siege of Daylight,Gregory S. Close,18,79,3.92,618.0,2013.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/17900556-in-siege-of-daylight
69,Nomad,Joanne Hall,16,56,4.23,350.0,2014.0,1,"Fantasy,Romance",,https://www.goodreads.com/book/show/21824659-nomad
70,Tome of the Undergates,Sam Sykes,183,1581,3.35,612.0,2010.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/7378426-tome-of-the-undergates
71,Fractured Dream,K.M. Randall,81,132,3.69,410.0,2014.0,1,"Fantasy,Young Adult,Fantasy > Fairy Tales",,https://www.goodreads.com/book/show/21857830-fractured-dream
72,Oníris - A Dádiva dos Deuses,Rita Vilela,1,25,4.08,336.0,2010.0,1,,,https://www.goodreads.com/book/show/8249178-on-ris---a-d-diva-dos-deuses
73,The Firelord's Crown,Dee Harrison,23,46,4.15,442.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/18399575-the-firelord-s-crown
74,Chandrea - The Return of the Avatar Queen,Marlene Wynn,22,53,4.02,468.0,2014.0,1,"Fantasy,Fantasy > Paranormal,Fiction",,https://www.goodreads.com/book/show/22605642-chandrea---the-return-of-the-avatar-queen
75,STRUGGS,Brad Hecht,2,5,4.4,291.0,2014.0,0,,,https://www.goodreads.com/book/show/21899425-struggs
76,Ladies and Gentlemen of Fantasy 2014,Jennifer L. Miller,1,6,4.17,430.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/22756473-ladies-and-gentlemen-of-fantasy-2014
77,Reign: Genesis,Jeffrey Wergin,20,28,3.82,378.0,2013.0,0,,,https://www.goodreads.com/book/show/18138964-reign
78,The Last Pages,Lara Whatley,12,32,4.16,250.0,2014.0,0,"Fantasy,Fantasy > Paranormal",,https://www.goodreads.com/book/show/22008448-the-last-pages
79,My Two Cents: Cici and Tati: Where The World of Fitness Meets The Multiple Shades of Gray,Ahmad Baari,1,5,4.8,,2014.0,0,,,https://www.goodreads.com/book/show/22884686-my-two-cents
80,Azlander: Second Nature,Gabriel Brunsdon,8,36,4.03,430.0,2012.0,0,"Fantasy,Fiction",,https://www.goodreads.com/book/show/19380557-azlander
81,Legend of the Mystic Knights,W.A. Rusho,8,11,4.91,310.0,2014.0,0,,,https://www.goodreads.com/book/show/22999130-legend-of-the-mystic-knights
82,The Fall of Night's Blood - Part 3,Al Hawkins,2,6,4.0,456.0,2013.0,1,,,https://www.goodreads.com/book/show/19393215-the-fall-of-night-s-blood---part-3
83,Aranya,Marc Secchia,127,1077,4.12,454.0,2014.0,1,"Fantasy,Fantasy > Dragons,Young Adult",,https://www.goodreads.com/book/show/22428704-aranya
84,In Your Dreams,John Swan,6,17,4.41,276.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22664583-in-your-dreams
