,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
76,Steelheart,Brandon Sanderson,13999,168202,4.12,386,2013,,1,"Fantasy,Young Adult,Science Fiction","Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award Nominee for Young Adult (2016), Rhode Island Teen Book Award (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013) ...more",,https://www.goodreads.com/book/show/17182126-steelheart
77,A Dance for the Gods,E.O. Odiase,34,57,3.96,360,2021,,1,"Fantasy,Adult",,,https://www.goodreads.com/book/show/55160645-a-dance-for-the-gods
78,The Fourth Queen,Mark Miller,10,44,4.32,188,2008,,1,"Fantasy,Fiction,Fantasy > Fairy Tales",,,https://www.goodreads.com/book/show/6338487-the-fourth-queen
79,The Steel Queen,Karen Azinger,71,357,3.9,437,2011,2011,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",,,https://www.goodreads.com/book/show/11375883-the-steel-queen
80,Stalking Darkness,Lynn Flewelling,668,14043,4.25,501,2010,1997,1,"Fantasy,LGBT,Romance > M M Romance",,,https://www.goodreads.com/book/show/74275.Stalking_Darkness
81,Three Wells of the Sea,Terry Madden,24,114,4.09,376,2016,,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",,,https://www.goodreads.com/book/show/29877833-three-wells-of-the-sea
82,Kargaroth: A Tale of the Great Onion Knighthood,Mark B. Frost,8,50,4.6,674,2019,,0,Fantasy,,,https://www.goodreads.com/book/show/42670760-kargaroth
83,The Tales of the Magic Piano,Damien Casey,3,5,4.8,601,2019,,0,,,,https://www.goodreads.com/book/show/43808494-the-tales-of-the-magic-piano
84,Space Taxis,Adam Frosh,55,89,4.53,340,2020,,0,"Science Fiction,Humor,Science Fiction > Alternate History",,,https://www.goodreads.com/book/show/55375798-space-taxis
85,House Harkonnen,Brian Herbert,307,15827,3.69,733,2001,2000,1,"Science Fiction,Fiction,Fantasy",,,https://www.goodreads.com/book/show/20253.House_Harkonnen
86,The Estian Alliance,M.J. Webb,29,46,4.41,248,2012,,1,"Fantasy,Young Adult",,,https://www.goodreads.com/book/show/15787712-the-estian-alliance
87,The Language of Stones,Robert Carter,18,300,3.42,487,2012,1999,1,"Fantasy,Fiction,Mythology > Arthurian",,,https://www.goodreads.com/book/show/38079.The_Language_of_Stones
88,Eyes Of The Keep,Scott D. Muller,4,19,3.95,554,2011,,1,"Fantasy,Paranormal > Demons",,,https://www.goodreads.com/book/show/12309573-eyes-of-the-keep
89,First Lord's Fury,Jim Butcher,1739,57929,4.39,465,2009,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,Alera,https://www.goodreads.com/book/show/6316821-first-lord-s-fury
90,Thread Slivers,Leeland Artra,64,652,4.0,358,2013,,1,"Fantasy,Science Fiction,Business > Amazon",,,https://www.goodreads.com/book/show/17306681-thread-slivers
91,DawnSinger,Janalyn Voigt,67,157,4.07,342,2012,2012,1,"Fantasy,Christian,Young Adult",,,https://www.goodreads.com/book/show/7913779-dawnsinger
92,Churning Waters,Meredith T. Taylor,13,63,4.52,643,2013,2013,1,"Fantasy,Romance,Fiction",,,https://www.goodreads.com/book/show/19055068-churning-waters
93,Stronghold,Melanie Rawn,84,11712,4.03,592,1991,,1,"Fantasy,Fiction,Fantasy > Dragons",,,https://www.goodreads.com/book/show/257321.Stronghold
94,Songs in the Year of the Cat,H. Leighton Dickson,22,174,4.42,384,2013,2013,1,"Fantasy,Science Fiction",,,https://www.goodreads.com/book/show/18325148-songs-in-the-year-of-the-cat
95,City of Vikings,Farah Cook,68,252,4.25,278,2017,,1,"Fantasy,Young Adult,Fiction",,,https://www.goodreads.com/book/show/35488914-city-of-vikings
96,The Singing,Alison Croggon,536,12987,4.22,496,2008,,1,"Fantasy,Young Adult,Fiction",,,https://www.goodreads.com/book/show/2550219.The_Singing
97,To Ride Hell’s Chasm,Janny Wurts,165,1451,3.82,704,2009,2002,0,"Fantasy,Fiction,Fantasy > High Fantasy",,,https://www.goodreads.com/book/show/1961496.To_Ride_Hell_s_Chasm
98,The Bonehunters,Steven Erikson,1038,33368,4.46,1203,2007,2006,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",Prix Aurora Award Nominee for Best of the Decade (2017),,https://www.goodreads.com/book/show/478951.The_Bonehunters
99,Mattimeo,Brian Jacques,540,32726,4.06,448,1999,1989,1,"Fantasy,Fiction,Young Adult",West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1992),,https://www.goodreads.com/book/show/201342.Mattimeo
