,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
62,Hunt for the Star,Dane Richter,24,48,4.81,462,2013,,1,Fantasy,,,https://www.goodreads.com/book/show/17450513-hunt-for-the-star
63,Traphis: A Wizard's Tale,James D. Maxon,21,175,3.74,424,2011,,0,"Fantasy,Fiction,Young Adult",,,https://www.goodreads.com/book/show/11819066-traphis
64,"The Hobbit, or There and Back Again",J.R.R. Tolkien,53785,3187900,4.28,366,2002,1937,1,"Fantasy,Classics,Fiction","Keith Barker Millennium Book Award, Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997), Mythopoeic Scholarship Award for Inklings Studies (1990)",Middle-earth,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
65,The Elvenbane,Andre Norton,293,14627,3.96,566,1993,1991,1,"Fantasy,Fantasy > Dragons,Fiction",SFBC Award (1991),,https://www.goodreads.com/book/show/176892.The_Elvenbane
66,Twelve Weapons,James Dwyer,4,20,4.75,,2017,,0,Fantasy,,,https://www.goodreads.com/book/show/34442170-twelve-weapons
67,Blackstone,C.E. Johnson,1,18,4.89,441,2018,2018,1,,,,https://www.goodreads.com/book/show/38332472-blackstone
68,In the Realm of the Wolf,David Gemmell,150,8060,4.23,306,1998,1992,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/870808.In_the_Realm_of_the_Wolf
69,The Siege of Macindaw,John Flanagan,1579,58819,4.34,320,2006,2006,1,"Fantasy,Young Adult,Adventure",,,https://www.goodreads.com/book/show/1814843.The_Siege_of_Macindaw
70,Trinity,Domenico Italo Composto-Hart,36,295,3.98,638,2011,,1,"Fantasy,Science Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/12043511-trinity
71,Stone of Tears,Terry Goodkind,1854,111271,4.09,703,1995,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy","Locus Award Nominee for Best Fantasy Novel (1996), SFBC Award Nominee for Book of the Year (1996)",,https://www.goodreads.com/book/show/234184.Stone_of_Tears
72,Greenstone,C.E. Johnson,6,66,4.88,466,2017,,1,"Young Adult,Fantasy,Science Fiction",,,https://www.goodreads.com/book/show/35251468-greenstone
73,STAVROS,Juddy Anderson C. Punzalan,21,186,4.4,38,2021,,0,,,,https://www.goodreads.com/book/show/56581167-stavros
74,The Chronicles of Master Li and Number Ten Ox,Barry Hughart,160,1735,4.36,652,1998,1996,1,"Fantasy,Fiction,Historical > Historical Fiction",,,https://www.goodreads.com/book/show/92581.The_Chronicles_of_Master_Li_and_Number_Ten_Ox
75,The Call of the Stone,Dora Machado,12,150,3.97,474,2009,,1,Fantasy,,,https://www.goodreads.com/book/show/17183525-the-call-of-the-stone
76,The King's Blood,Daniel Abraham,580,12004,4.01,501,2012,,1,"Fantasy,Fantasy > Epic Fantasy,Fiction","Locus Award Nominee for Best Fantasy Novel (2013), Goodreads Choice Award Nominee for Fantasy (2012)",,https://www.goodreads.com/book/show/12759057-the-king-s-blood
77,Memories of Ice,Steven Erikson,1900,48394,4.43,925,2006,2001,1,"Fantasy,Fantasy > Epic Fantasy,Fiction",Prix Aurora Award Nominee for Best of the Decade (2017),,https://www.goodreads.com/book/show/175983.Memories_of_Ice
78,The Lords of Darkness,Tanith Lee,25,429,4.39,726,1987,1978,1,"Fantasy,Fiction,Fantasy > High Fantasy",,,https://www.goodreads.com/book/show/1945059.The_Lords_of_Darkness
79,Proven Guilty,Jim Butcher,3068,112960,4.37,551,2007,2006,1,"Fantasy,Fantasy > Urban Fantasy,Fiction",,"Chicago, Illinois",https://www.goodreads.com/book/show/91474.Proven_Guilty
80,Homeland,R.A. Salvatore,2595,81931,4.22,343,2005,1990,1,"Fantasy,Dungeons and Dragons > Forgotten Realms,Fiction",,,https://www.goodreads.com/book/show/50027.Homeland
81,"I, the Sun",Janet E. Morris,74,406,4.21,558,2013,1983,0,"Historical > Historical Fiction,Fiction,Historical",,,https://www.goodreads.com/book/show/17878917-i-the-sun
82,The 13½ Lives of Captain Bluebear,Walter Moers,1522,19964,4.26,704,2006,1999,1,"Fantasy,Fiction,Humor",,Zamonia,https://www.goodreads.com/book/show/62032.The_13_Lives_of_Captain_Bluebear
83,The Will of the Empress,Tamora Pierce,575,20603,4.19,550,2006,2005,1,"Fantasy,Young Adult,Fiction",,Namorn,https://www.goodreads.com/book/show/153783.The_Will_of_the_Empress
84,"From the Two Rivers: The Eye of the World, Part 1",Robert Jordan,192,17700,4.28,416,2002,1990,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/187049.From_the_Two_Rivers
85,Bearers of the Black Staff,Terry Brooks,494,9881,4.05,353,2010,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",Goodreads Choice Award Nominee for Fantasy (2010),,https://www.goodreads.com/book/show/7302794-bearers-of-the-black-staff
86,Wizard Weather,Janet E. Morris,8,69,4.72,47,2013,,1,"Fantasy,Fantasy > Dark Fantasy,Short Stories",,,https://www.goodreads.com/book/show/17404225-wizard-weather
